x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20
1 0.046949146 0.824564421 0.584246028 0.276160721 0.520015715 0.757927752 0.050483204 0.784151821 0.839373463 0.070808429 0.171005066 0.815486346 0.098161851 0.231586515 0.308079184 0.658418222 0.508375552 0.512078223 0.478158482 0.711561859
2 0.728612906 0.872739408 0.923397981 0.957274262 0.928474847 0.964819921 0.145411041 0.946379663 0.992167899 0.607800891 0.258085245 0.994306895 0.671491042 0.919884223 0.8242371 0.996644463 0.99805587 0.596675031 0.821938566 0.913138169
3 0.99989009 0.913635966 0.98739647 0.762093748 0.965639266 0.322200536 0.239015814 0.999933262 0.678451272 0.944381551 0.343113749 0.674328712 0.980721098 0.862267779 0.998556489 0.772394996 0.611558888 0.675099903 0.990252156 0.998159485
4 0.707985552 0.946913027 0.757171272 -0.130711517 0.616647017 -0.604112284 0.330445834 0.938662973 0.045731154 0.969568776 0.425414635 0.016070358 0.904231051 0.105457106 0.758741306 0.112229374 -0.311815869 0.74654162 0.947167863 0.955773499
5 0.017312663 0.972293068 0.301324724 -0.903862751 0.021059206 -0.998511994 0.418869199 0.76960456 -0.608491464 0.675057515 0.504333643 -0.650249767 0.472104631 -0.736866445 0.204250879 -0.61127508 -0.961452458 0.810261197 0.701883271 0.791390452
6 -0.683111474 0.989564426 -0.244310348 -0.849613118 -0.582950128 -0.513734712 0.503481363 0.512171262 -0.976605248 0.157957747 0.579243399 -0.990369037 -0.145701741 -0.981680988 -0.434949177 -0.989794541 -0.767045297 0.865599527 0.306761451 0.525992562
7 -0.998777425 0.998583063 -0.717145998 -0.017623026 -0.953839199 0.423379388 0.58351246 0.195924544 -0.885525429 -0.411225848 0.649548399 -0.833665019 -0.706203248 -0.430471724 -0.89376135 -0.809704181 0.100738673 0.911984196 -0.153847449 0.193455808
8 -0.751888356 0.999273766 -0.976287001 0.830499279 -0.943290418 0.987713372 0.658234303 -0.142820494 -0.378077161 -0.844814852 0.714689747 -0.258749023 -0.988953221 0.469797719 -0.981900979 -0.172641501 0.880085772 0.948935406 -0.581613173 -0.163774076
9 -0.081502961 0.991630773 -0.944514709 0.918378038 -0.555522216 0.682378413 0.726967014 -0.465165233 0.307140594 -0.999840813 0.774149595 0.445969639 -0.882745376 0.989118387 -0.662813629 0.561854772 0.886819635 0.97607094 -0.88521679 -0.500099472
10 0.634788457 0.975717826 -0.631296605 0.165568557 0.054397897 -0.223781978 0.78908521 -0.734094326 0.847942787 -0.825186608 0.82745526 0.926965533 -0.429351529 0.706384422 -0.068835433 0.979257364 0.115028711 0.993110109 -0.999845352 -0.772591056
11 0.993539322 0.951667634 -0.129965194 -0.738803279 0.64256443 -0.932905211 0.84402369 -0.91872623 0.990047651 -0.378441433 0.874182984 0.942944806 0.192907367 -0.14914134 0.553691106 0.843996996 -0.75774408 0.999876663 -0.901028086 -0.946467395
12 0.792685494 0.919680771 0.410093151 -0.966870585 0.973771095 -0.820617382 0.891282581 -0.997859377 0.666638379 0.193088241 0.9139613 0.48589138 0.739295304 -0.883731627 0.946583536 0.23241049 -0.965305451 0.996300608 -0.609860388 -0.999534524
13 0.145356613 0.880023999 0.827952236 -0.309859311 0.915569193 0.014213516 0.930431885 -0.962406784 0.029779963 0.700950416 0.946473985 -0.214911742 0.994916518 -0.901723117 0.946896305 -0.510341401 -0.325440592 0.982418937 -0.1885004 -0.925018837
14 -0.583843454 0.833028045 0.99909871 0.630798858 0.491233517 0.836529596 0.961115391 -0.816439527 -0.621080803 0.97768635 0.971462578 -0.807903378 0.859234534 -0.188526902 0.554499698 -0.965072186 0.600123362 0.958375238 0.273100435 -0.732431682
15 -0.984197416 0.779084844 0.872534472 0.994020329 -0.129545184 0.922292106 0.983053916 -0.576719254 -0.979913309 0.932047169 0.988728428 -0.995606483 0.385613422 0.677541686 -0.067866369 -0.875145692 0.998848607 0.924418217 0.676400106 -0.446355314
16 -0.830208454 0.718644269 0.485973041 0.447310197 -0.698519097 0.195988258 0.996047845 -0.270773414 -0.877996782 0.5790816 0.99813428 -0.683858911 -0.23967043 0.994206426 -0.662085995 -0.291313687 0.52070062 0.880899122 0.935302665 -0.103305158
17 -0.208609871 0.652210379 -0.045398285 -0.508870116 -0.988157014 -0.702880736 0.999978951 0.066265756 -0.363251728 0.035173919 0.999605359 -0.029050299 -0.770691292 0.504690752 -0.98171655 0.456926869 -0.41456212 0.828268109 0.994537894 0.252931098
18 0.530486894 0.580337217 -0.563241864 -0.999227964 -0.882633472 -0.982872265 0.994811465 0.395695527 0.322291988 -0.520331753 0.993129972 0.640331532 -0.998597308 -0.3940677 -0.894196614 0.947291851 -0.9858874 0.767069587 0.841460325 0.576882666
19 0.970790295 0.503624186 -0.913251038 -0.574887112 -0.424147066 -0.397457384 0.980592405 0.679686967 0.856296052 -0.904267054 0.978759595 0.988488038 -0.833752463 -0.973285206 -0.435823616 0.903034231 -0.691717885 0.697936587 0.50874878 0.827199643
20 0.864302249 0.422711055 -0.991130327 0.375708522 0.203954664 0.537913621 0.957451146 0.885628899 0.987675135 -0.990035979 0.956608468 0.840764868 -0.340990652 -0.763286862 0.203299925 0.349131661 0.209699708 0.621584212 0.067430135 0.971931012
21 0.271001468 0.338272619 -0.773673316 0.982378536 0.750495448 0.999658589 0.925598247 0.989872691 0.654655624 -0.749357713 0.926852683 0.271268047 0.285883649 0.065644233 0.758108228 -0.40181016 0.927025278 0.538802242 -0.388283417 0.99260294
22 -0.474939163 0.251013073 -0.325677689 0.689773907 0.996915024 0.581217003 0.885323529 0.980447867 0.013821184 -0.261591739 0.889728786 -0.434311667 0.800319184 0.841345844 0.998503846 -0.925982594 0.83053017 0.450446964 -0.761106675 0.886576814
23 -0.953373336 0.16166014 0.219363141 -0.234253499 0.844670837 -0.348978692 0.836993445 0.858436694 -0.633511889 0.312429573 0.845531898 -0.922016889 0.999987148 0.93481837 0.824786725 -0.927558721 0.004925897 0.357432315 -0.971449762 0.667386046
24 -0.894826053 0.070959002 0.6990383 -0.943843981 0.354644946 -0.971903129 0.781047738 0.637849905 -0.982971684 0.783432653 0.794613366 -0.947188001 0.806357622 0.270266968 0.30900313 -0.405649024 -0.825002742 0.260720428 -0.974408878 0.363008635
25 -0.332273697 -0.020333917 0.970414531 -0.789434562 -0.27720255 -0.739079338 0.717995446 0.344017822 -0.870244417 0.996112405 0.737377973 -0.497197795 0.295585593 -0.613438052 -0.334934336 0.345196598 -0.930674657 0.16131168 -0.769352315 0.012295992
26 0.417429702 -0.111457255 0.952627341 0.087627539 -0.798197457 0.144494321 0.64841027 0.010681639 -0.348333737 0.880341369 0.674280718 0.202214023 -0.331441003 -0.999719469 -0.839963398 0.901223799 -0.219322162 0.060234342 -0.40005531 -0.339986139
